#INGREDIENTS
egg,.5,14,0
tortilla,.5,28,0
chorizo,1.25,12,0
bacon,2.0,12,0
tomato,.25,21,0
potato,1.5,21,0
onion,.25,30,0
pepper,1.0,14,0
garlic,.25,30,0
flour,.5,365,0
milk,1,21,0
#MENU_ITEMS
Breakfast Burrito,6.5,tortilla,1,potato,1,egg,1,chorizo,2,tomato,1,pepper,1
Eggs and Bacon,6.0,egg,2,bacon,2,potato,2
Country Egg Scramble,7.5,egg,2,potato,2,tomato,1,onion,1,garlic,1,pepper,1
Pancakes and Bacon,8.0,flour,2,egg,1,milk,1,bacon,3
#010092017
egg,56
tortilla,12
chorizo,20
bacon,44
tomato,20
potato,44
onion,12
pepper,20
garlic,12
flour,20
milk,12
#110092017
egg,1
tortilla,1
chorizo,1
bacon,1
tomato,1
potato,1
onion,1
pepper,1
garlic,1
flour,1
milk,1
#410092017
Breakfast Burrito,8
Eggs and Bacon,8
Country Egg Scramble,8
Pancakes and Bacon,8
#210092017
egg,7
tortilla,3
chorizo,3
bacon,3
tomato,3
potato,3
onion,3
pepper,3
garlic,3
flour,3
milk,3
#310092017
egg,47
tortilla,7
chorizo,15
bacon,39
tomato,15
potato,39
onion,7
pepper,15
garlic,7
flour,15
milk,7
#010162017
egg,48
tortilla,8
chorizo,16
bacon,40
tomato,16
potato,40
onion,8
pepper,16
garlic,8
flour,16
milk,8
#110162017
egg,2
tortilla,0
chorizo,1
bacon,2
tomato,3
potato,0
onion,0
pepper,1
garlic,1
flour,1
milk,1
#410162017
Breakfast Burrito,6
Eggs and Bacon,6
Country Egg Scramble,6
Pancakes and Bacon,6
#210162017
egg,10
tortilla,2
chorizo,3
bacon,8
tomato,1
potato,10
onion,2
pepper,3
garlic,1
flour,3
milk,1
#310162017
egg,34
tortilla,6
chorizo,11
bacon,28
tomato,9
potato,30
onion,6
pepper,11
garlic,5
flour,11
milk,5
#010232017
egg,50
tortilla,12
chorizo,24
bacon,50
tomato,25
potato,45
onion,15
pepper,22
garlic,13
flour,24
milk,10
#10232017
egg,2
tortilla,2
chorizo,1
bacon,3
tomato,2
potato,1
onion,1
pepper,3
garlic,2
flour,1
milk,2
#410232017
Breakfast Burrito,8
Eggs and Bacon,7
Country Egg Scramble,8
Pancakes and Bacon,7
#210232017
egg,3
tortilla,2
chorizo,7
bacon,12
tomato,7
potato,6
onion,6
pepper,3
garlic,3
flour,9
milk,1
#310232017
egg,43
tortilla,6
chorizo,15
bacon,32
tomato,14
potato,37
onion,7
pepper,13
garlic,6
flour,13
milk,5
#010302017
egg,48
tortilla,8
chorizo,16
bacon,40
tomato,16
potato,40
onion,8
pepper,16
garlic,8
flour,16
milk,8
#110302017
egg,0
tortilla,0
chorizo,0
bacon,0
tomato,0
potato,0
onion,0
pepper,0
garlic,0
flour,0
milk,0
#410302017
Breakfast Burrito,8
Eggs and Bacon,8
Country Egg Scramble,8
Pancakes and Bacon,8
#210302017
egg,0
tortilla,0
chorizo,0
bacon,0
tomato,0
potato,0
onion,0
pepper,0
garlic,0
flour,0
milk,0
#310302017
egg,48
tortilla,8
chorizo,16
bacon,40
tomato,16
potato,40
onion,8
pepper,16
garlic,8
flour,16
milk,8
#011062017
egg,48
tortilla,8
chorizo,16
bacon,40
tomato,16
potato,40
onion,8
pepper,16
garlic,8
flour,16
milk,8
#111062017
egg,1
tortilla,1
chorizo,0
bacon,1
tomato,1
potato,0
onion,1
pepper,0
garlic,0
flour,1
milk,2
#411062017
Breakfast Burrito,7
Eggs and Bacon,6
Country Egg Scramble,7
Pancakes and Bacon,6
#211062017
egg,8
tortilla,0
chorizo,2
bacon,9
tomato,1
potato,7
onion,0
pepper,2
garlic,1
flour,3
milk,0
#311062017
egg,38
tortilla,6
chorizo,14
bacon,29
tomato,13
potato,33
onion,6
pepper,14
garlic,7
flour,11
milk,4
#011132017
egg,40
tortilla,8
chorizo,14
bacon,32
tomato,14
potato,32
onion,8
pepper,14
garlic,8
flour,14
milk,8
#11132017
egg,0
tortilla,0
chorizo,0
bacon,0
tomato,0
potato,0
onion,0
pepper,0
garlic,0
flour,0
milk,0
#411132017
Breakfast Burrito,6
Eggs and Bacon,6
Country Egg Scramble,6
Pancakes and Bacon,6
#211132017
egg,4
tortilla,2
chorizo,2
bacon,2
tomato,2
potato,2
onion,2
pepper,2
garlic,2
flour,2
milk,2
#311132017
egg,36
tortilla,6
chorizo,12
bacon,30
tomato,12
potato,30
onion,6
pepper,12
garlic,6
flour,12
milk,6
#011202017
egg,52
tortilla,10
chorizo,20
bacon,42
tomato,20
potato,42
onion,10
pepper,20
garlic,10
flour,18
milk,10
#111202017
egg,1
tortilla,1
chorizo,1
bacon,1
tomato,1
potato,1
onion,1
pepper,1
garlic,1
flour,1
milk,1
#411202017
Breakfast Burrito,7
Eggs and Bacon,7
Country Egg Scramble,7
Pancakes and Bacon,8
#211202017
egg,8
tortilla,2
chorizo,5
bacon,3
tomato,5
potato,6
onion,2
pepper,5
garlic,2
flour,1
milk,1
#311202017
egg,42
tortilla,6
chorizo,13
bacon,37
tomato,13
potato,34
onion,6
pepper,13
garlic,6
flour,15
milk,7
#011272017
egg,60
tortilla,12
chorizo,22
bacon,46
tomato,22
potato,45
onion,12
pepper,20
garlic,12
flour,20
milk,12
#111272017
egg,1
tortilla,1
chorizo,1
bacon,1
tomato,1
potato,1
onion,1
pepper,1
garlic,1
flour,1
milk,1
#411272017
Breakfast Burrito,9
Eggs and Bacon,9
Country Egg Scramble,9
Pancakes and Bacon,9
#211272017
egg,5
tortilla,2
chorizo,3
bacon,0
tomato,3
potato,-1
onion,2
pepper,1
garlic,2
flour,1
milk,2
#311272017
egg,53
tortilla,8
chorizo,17
bacon,44
tomato,17
potato,44
onion,8
pepper,17
garlic,8
flour,17
milk,8
#012312018
egg,3
tortilla,4
chorizo,5
bacon,2
tomato,3
potato,4
onion,6
pepper,1
garlic,3
flour,2
milk,5
#112312018
egg,1
tortilla,2
chorizo,3
bacon,2
tomato,5
